,English,French
5043,monopolies,monopoles
5044,cornflakes,corn flakes
5045,disbursing abolishing,débourser abolir
5046,veterinary,vétérinaire
5047,congregate,se rassembler
5048,chalchitra,Chalchitra
5049,rebuilding,reconstitution
5050,qomolangma,qomolangma
5051,mentioning starvation aerodromes,mentionnant famine aérodromes
5052,bumblebees,les bourdons
5053,invaluable,inestimable
5054,swaggering inevitably,fanfaronnade inévitablement
5055,resilience,résilience
5056,cohabiting,cohabiter
5057,indolgists managanese,indolgistes manganèse
5058,emulsified,émulsionné
5059,collectors,collectionneurs
5060,habraithan,Habraithan
5061,unobserved mahavaraha,inaperçu mahavaraha
5062,eyewitness unpunished,témoin oculaire impuni
5063,jacqueline,Jacqueline
5064,engravings positively malihabadi,gravures positivement malihabadi
5065,connecting perfection,de liaison perfection
5066,misconduct,inconduite
5067,equanimity shrivastav hyderabadi,équanimité shrivastav Hyderabadi
5068,uninvented mannequins,ininventé mannequins
5069,publishers,éditeurs
5070,impossibly,impossible
5071,rejoicings furnishing rechecking,réjouissances ameublement revérification
5072,purthgalli,purthgalli
5073,victimhood reciprocal,victimisation réciproque
5074,insanitary,insalubre
5075,unattached,libre
5076,impersonal,impersonnel
5077,continuity,continuité
5078,revelation,révélation
5079,separating forbidding,séparer interdiction
5080,mahajanpad,mahajanpad
5081,fecilities,installations
5082,majestyand,majesté et
5083,conspiracy wikisource defendable,conspiration source wiki défendable
5084,unbuttoned diffidence,déboutonné méfiance
5085,importance antiquated,importance vieilli
5086,disneyland,Disneyland
5087,dwaipayana,dwaipayana
5088,enveloping,enveloppant
5089,appendices situations enthusiast,annexes situations passionné
5090,mitigating,atténuer
5091,wilderness,désert
5092,majorities locational cheerfully,majorités localisé gaiement
5093,registered,inscrit
5094,millennial columnette,millénaire colonnette
5095,covenanted googletalk,conventionné Googletalk
5096,panchatala,panchatala
5097,conduction,conduction
5098,goesduring shoestring,va pendant peu de moyens
5099,epistolary mehrangarh,épistolaire Mehrangarh
5100,motherless demonology,sans mère démonologie
5101,copulating tabulation florescent,copulation tabulation fluorescent
5102,fullbright,pleine luminosité
5103,lenticular establised,lenticulaire établi
5104,maovadiyan rahminical,maovadiyan rahminique
5105,comprehend,comprendre
5106,catwalking,défilé
5107,capitalise,capitaliser
5108,jeopardise pertaining,compromettre se rapportant
5109,refinement,raffinement
5110,maptsatung laipiderie peninsular,maptsatung laipiderie péninsule
5111,overridden demoralise,remplacé démoraliser
5112,uttrakhand mahanavami,uttrakhand Mahanavami
5113,maturation,maturation
5114,protestant,protestant
5115,directives,directives
5116,miniskirts strawberry,minijupes fraise
5117,plowshares announcing hramargeet,socs annonçant hramargeet
5118,yourselves rajputanas creditable,vous-mêmes Rajputanas honorable
5119,alignments,alignements
5120,demarcates admonished,délimite réprimandé
5121,promiseand recipients mumbaiites,promesse et destinataires mumbaiites
5122,surpachisi,surpachisi
5123,greenhouse,serre
5124,researches,recherches
5125,deprecated ringverpur,obsolète ringverpur
5126,concussion,commotion cérébrale
5127,vaismpayan,vaismpayan
5128,anthracite sankhyayan,anthracite Sankhyayan
5129,pravachana mankrishna,pravachana mankrishna
5130,stipulates,stipule
5131,philisophy,philosophie
5132,srikrishna,srikrishna
5133,rectangles eshwarappa fundraiser,rectangles Eshwarappa collecte de fonds
5134,waitresses,serveuses
5135,caricature,caricature
5136,uttranchal childbirth,uttranchal accouchement
5137,magnifying,grossissant
5138,premachand possiblity,prémachand possibilité
5139,gregarious ghadhatmak,grégaire ghadhatmak
5140,shamanians,chamaniens
5141,undisputed suboptimal,incontesté sous-optimal
5142,kumbakarna,kumbakarna
5143,refinement catalogues,raffinement catalogues
5144,manipulate gettysburg factsheets,manipuler Gettysburg fiches d'information
5145,bushelfuls,boisseaux
5146,inwardness,intériorité
5147,dispersing madhydinee,disperser madhydinee
5148,urbanizing,urbaniser
5149,terminated,terminé
5150,prosperous,prospère
5151,coleoptera,coléoptères
5152,gyaneshwar terminator,gyaneshwar terminateur
5153,stabilized ganeshlena,stabilisé Ganeshléna
5154,alcibiades interestin capitulate,alcibiade intéressant capituler
5155,terrorised convocated,terrorisé convoqué
5156,bhagatsing,bhagatsing
5157,pravavathi,pravavathi
5158,recovering,récupérer
5159,weathering,érosion
5160,deprecated biochemist,obsolète biochimiste
5161,hollowness flamboyant,cavité flamboyant
5162,penicillin perfomance defendable,pénicilline performance défendable
5163,sulthanpur,Sultanpur
5164,rainsoaked placements,trempé par la pluie emplacements
5165,utterances,déclarations
5166,mosquitoes,les moustiques
5167,sweetmeats,friandises
5168,durability managanese,durabilité manganèse
5169,favoritism,favoritisme
5170,properties,propriétés
5171,unhindered,sans entrave
5172,grandchild signatures glaciation,petit enfant signature glaciation
5173,cheerfully fairground,gaiement champ de foire
5174,teetotaler,abstinent
5175,faruthabad pollandand,Faruthabad Pologne
5176,kurmapuran,kurmapuran
5177,complexity repackaged,complexité reconditionné
5178,underscore,souligner
5179,dumbstruck,sidéré
5180,interludes,intermèdes
5181,unerringly completing,infailliblement terminer
5182,arnivchani,arnivchani
5183,peacefully epitomises,pacifiquement incarne
5184,extortions orthoptera,extorsions orthoptères
5185,brahmaverg eliminator,brahmaverg éliminateur
5186,lightening singavaram,éclairage singavaram
5187,merriments,réjouissances
5188,neccesarry dissenters,nécessaire dissidents
5189,acquainted loneliness compulsary,connaître solitude obligatoire
5190,incapacity definitely,incapacité certainement
5191,surfacefor stunningly,surfacepour étonnamment
5192,incumbency,titulaire
5193,grasslands,prairies
5194,covenanted,conventionné
5195,scratching,scratch
5196,misgivings,appréhensions
5197,awakenning junglighat militarist,éveil junglighat militariste
5198,chalukyaas rupnarayan suggesting,Chalukyaas rupnarayan suggérant
5199,equipement,équipement
5200,munificent banishment,munificent bannissement
5201,downloader,téléchargeur
5202,firstworld pithorabad,premier monde Pithorabad
5203,prescience,prescience
5204,occurences,événements
5205,inculcated sankeertan diagnosing,inculqué sankéertan diagnostiquer
5206,fanaticism,fanatisme
5207,bronchitis,bronchite
5208,evaluating kaonverter,évaluer convertisseur de kaon
5209,dependants,personnes à charge
5210,benimadhav ministerto englishman,Benimadhav ministre Anglais
5211,remarkabld,remarquable
5212,bankrolled,financé
5213,bodyguards,gardes du corps
5214,churchgate,porte de l'église
5215,expiration advocating,expiration préconisant
5216,persecutes,persécute
5217,understpod malasthana,comprendre Malasthana
5218,hawanaiema,hawanaiema
5219,mastarcard,carte mastar
5220,mercifully,heureusement
5221,inexorably cartwright,inexorablement charron
5222,ganganagar,ganganagar
5223,carbonieri,carbonieri
5224,formulated recolonise,formulé recoloniser
5225,worshiping,adorer
5226,inflicting,infliger
5227,gandhiites includiing hyperlinks,gandhiites y compris hyperliens
5228,salutation,salutation
5229,officailly mentioning,officiellement mentionnant
5230,kharidenge vidyasagar,Kharidenge vidyasagar
5231,recoupment,récupération
5232,indigenous atmosphere,indigène atmosphère
5233,checkmated brahmaachy kavitavali,échec et mat brahmaachy Kavitavali
5234,landlocked rogasajyay stoneflies,enclavé rogasajyay les mouches des pierres
5235,anarchical philisophy,anarchique philosophie
5236,identifies,identifie
5237,expedition,expédition
5238,ancestries,ancêtres
5239,terracotta,terre cuite
5240,repackaged,reconditionné
5241,theorizing carcinogen grasslands,théoriser cancérigène prairies
5242,correcting,corriger
5243,hramargeet shamsuddin,hramargeet Shamsuddin
5244,contracted,contracté
5245,investment overseeing modulation,investissement surveillance modulation
5246,habitually,habituellement
5247,manoeuvred decrypting,manœuvré décryptage
5248,ceremonial repetition,cérémonial répétition
5249,arterioles irreverent gratifying,artérioles irrévérencieux gratifiant
5250,socialists,socialistes
5251,unaccepted,non accepté
5252,sanwardith manipulate incendiary,Sanwardith manipuler incendiaire
5253,shortlived jambukhand,de courte durée jambukhand
5254,conversion parliament shisrmunde,conversion parlement Shisrmonde
5255,splendidly hippodrome,magnifiquement hippodrome
5256,progenitor clearances aaryavarti,ancêtre autorisations aaryavarti
5257,fovernment mountainto,gouvernement montagne
5258,endogenous ashwadhama,endogène Ashwadhama
5259,waterfalls improbable,cascades improbable
5260,siddharama,siddharama
5261,intestinal,intestinal
5262,sufficient allocation courageous,suffisant allocation courageux
5263,gujjarsthe provibited,gujjarsthe interdit
5264,separatist motivating,séparatiste motivant
5265,upliftment,élévation
5266,kavitavali,Kavitavali
5267,considrerd unpleasant infallible,considérer désagréable infaillible
5268,knighthood,chevalerie
5269,innovating announcers powerpoint,innover annonceurs PowerPoint
5270,condensate,condensat
5271,partapgarh bhadrapada concentric,partapgarh Bhadrapada concentrique
5272,throughout mutsabihat,tout au long de Mutsabihat
5273,flowerbugs,punaises des fleurs
5274,perimeters,périmètres
5275,hereditary,héréditaire
5276,rajaprasad superseded gramophone,Rajaprasad remplacé gramophone
5277,experionce,expérience
5278,benovelent articulate,bienveillant articuler
5279,informally allahahbad,de manière informelle Allahahbad
5280,somethinga,quelque chose
5281,enjoyments,plaisirs
5282,geetimalya rashbehary,Geetimalya éruption cutanée
5283,sentineles kabuliwala grovelling,sentinelles Kabuliwala ramper
5284,substratum,substrat
5285,supermodel industries,mannequin industries
5286,triangular volunteers,triangulaire bénévoles
5287,mozambique,Mozambique
5288,activating,activation
5289,auctioneer,commissaire-priseur
5290,mauritania sukachmati,Mauritanie sukachmati
5291,symbolises projecting,symbolise en saillie
5292,lavishness,prodigalité
5293,subtracted stereotype,soustrait stéréotype
5294,negligible,négligeable
5295,luminosity strenghten,luminosité renforcer
5296,seductions manifestly,séductions manifestement
5297,muktabodha princesses obstuctive,muktabodha princesses obstructif
5298,selections ssrsszzith,sélections ssrsszzith
5299,shaktibaan,shaktibaan
5300,bramaputra,bramapoutre
5301,customized,personnalisé
5302,explioting,exploiter
5303,resonators programmer,résonateurs programmeur
5304,inheritors exigencies,héritiers exigences
5305,elateridae,élatéridés
5306,nineteenth,XIXème
5307,fossilized,fossilisé
5308,unrepealed marvellous minimalist,non abrogé merveilleux minimaliste
5309,enactments,textes législatifs
5310,shiverakar kushinagar,frémir Kushinagar
5311,chandrauli,chandrauli
5312,criticises alleviates,critique atténue
5313,liberality,libéralité
5314,precession,précession
5315,discourses,discours
5316,buddhodana,Bouddha
5317,banqueting,banqueter
5318,unblinking regimentan assurances,ne cligne pas des yeux régimentaire assurances
5319,shankerlal unexploded,Shankerlal non explosé
5320,dronamukha highground,dronemukha haut niveau
5321,intestinal gatherings,intestinal rassemblements
5322,ostensibly,en apparence
5323,dispensary countrymen,dispensaire compatriotes
5324,rebellions,rébellions
5325,optionally,en option
5326,instamatic geetimalai neatawaarn,instamatique geetimalai soigné
5327,containing,contenant
5328,interlaced,entrelacé
5329,landholder,propriétaire terrien
5330,encounters,rencontres
5331,tearjerker inducement,larmoyant incitation
5332,omniscient orthopedic krantikary,omniscient orthopédique krantikaire
5333,mercantile,mercantile
5334,afterwords,postface
5335,artificial,artificiel
5336,timberless automation,sans bois automation
5337,darlington reorganize shuparnkha,Darlington réorganiser Shuparnkha
5338,beltsville inhalation thrombosis,ceinturesville inhalation thrombose
5339,proportion,proportion
5340,outlandish informally challenged,bizarre de manière informelle contesté
5341,dismantles musicology,démantèle musicologie
5342,disbursing rachnawali,débourser Rachnawali
5343,kannaialal,kannaialal
5344,englisized,englisisé
5345,springtime pronounces empowering,printemps prononce responsabilisation
5346,prabhabati,prabhabati
5347,pharmacist,pharmacien
5348,deepshikha,Deepshikha
5349,pandulipis,pandulipis
5350,vijayawada,vijayawada
5351,regretting,regretter
5352,demography,démographie
5353,centennial vijaykumar,centenaire vijaykumar
5354,landholder reductions,propriétaire terrien réductions
5355,saikandara,saikandara
5356,reorganise kurushetra,réorganiser kurushetra
5357,preventing naithanial,empêcher naithanial
5358,bolsheviks depressing,bolcheviks déprimant
5359,discipline regulators,discipline régulateurs
5360,atrocities,atrocités
5361,persuading,persuader
5362,malaysians minimalist,malaisiens minimaliste
5363,altruistic,altruiste
5364,evaporates acquainted,s'évapore connaître
5365,translator,traducteur
5366,dismantled,démantelé
5367,negroponte harmonious,nègreponte harmonieux
5368,generators allowances abominably,générateurs allocations abominablement
5369,transplant,transplanter
5370,mausoleums,mausolées
5371,peripheral,périphérique
5372,sahabuddin,sahabuddin
5373,complaints,plaintes
5374,membranous,membraneux
5375,sympathise,sympathiser
5376,geologists,géologues
5377,materially,matériellement
5378,instructor liberality,instructeur libéralité
5379,unsociable,insociable
5380,replicated,répliqué
5381,purbanchal,banlieuechal
5382,compositae flattening redemption,composée aplanissement rachat
5383,posthumous,posthume
5384,converging,convergent
5385,constitute compliment,constituer compliment
5386,bharatendu,bharatendu
5387,composites paanwallah,composites paanwallah
5388,viewpoints exonerated gatherings,points de vue exonéré rassemblements
5389,mukhchanda,mukhchanda
5390,illustrate,illustrer
5391,velupillai,velupillai
5392,followedas changeless,suivi comme immuable
